,time,S,I,R
0,0.0,0.999999,1e-06,0.0
1,0.036003600360036005,0.999998992924695,1.0052703785278496e-06,1.8049265850348186e-09
2,0.07200720072007201,0.999998985812104,1.0105685311115312e-06,3.6193648631147068e-09
3,0.10801080108010802,0.9999989786620385,1.0158945985553025e-06,5.443363055204185e-09
4,0.14401440144014402,0.9999989714742777,1.0212487449583543e-06,7.27697736004258e-09
5,0.18001800180018002,0.9999989642486914,1.0266310675659196e-06,9.120241081046295e-09
6,0.21602160216021604,0.9999989569850529,1.0320417351065778e-06,1.0973212002383299e-08
7,0.252025202520252,0.9999989496831522,1.0374809041346761e-06,1.28359437389285e-08
8,0.28802880288028804,0.999998942342779,1.042948731204562e-06,1.4708489905556795e-08
9,0.32403240324032406,0.999998934963723,1.0484453728705828e-06,1.65909041171431e-08
10,0.36003600360036003,0.9999989275457744,1.053970985687086e-06,1.8483239988562313e-08
11,0.39603960396039606,0.9999989200887227,1.0595257262084187e-06,2.0385551134689337e-08
12,0.4320432043204321,0.999998912592358,1.0651097509889287e-06,2.2297891170399088e-08
13,0.46804680468046805,0.9999989050564698,1.0707232165829633e-06,2.4220313710566452e-08
14,0.504050405040504,0.9999988974808481,1.07636627954487e-06,2.6152872370066344e-08
15,0.54005400540054,0.9999988898652828,1.082039096428996e-06,2.8095620763773675e-08
16,0.5760576057605761,0.9999988822095637,1.0877418238649432e-06,3.0048612532336876e-08
17,0.6120612061206121,0.9999988745134727,1.0934746241273712e-06,3.2011903249749704e-08
18,0.6480648064806481,0.9999988667767936,1.0992376583606508e-06,3.398554810289968e-08
19,0.684068406840684,0.9999988589993143,1.10503108455477e-06,3.596960119834637e-08
20,0.7200720072007201,0.9999988511808228,1.1108550606997162e-06,3.796411664264937e-08
21,0.7560756075607561,0.9999988433211068,1.1167097447854768e-06,3.996914854236825e-08
22,0.7920792079207921,0.9999988354199543,1.1225952948020395e-06,4.198475100406258e-08
23,0.8280828082808281,0.9999988274771532,1.1285118687393917e-06,4.401097813429194e-08
24,0.8640864086408642,0.9999988194924915,1.134459624587521e-06,4.604788403961591e-08
25,0.9000900090009001,0.9999988114657569,1.140438720336415e-06,4.8095522826594045e-08
26,0.9360936093609361,0.9999988033967375,1.146449313976061e-06,5.015394860178595e-08
27,0.9720972097209721,0.9999987952852211,1.1524915634964466e-06,5.222321547175119e-08
28,1.008100810081008,0.9999987871309957,1.1585656268875597e-06,5.430337754304933e-08
29,1.0441044104410442,0.9999987789338108,1.1646716905737732e-06,5.639449866019747e-08
30,1.08010801080108,0.9999987706933949,1.1708099570026375e-06,5.849664815518884e-08
31,1.1161116111611162,0.9999987624095216,1.176980594748171e-06,6.060988375930857e-08
32,1.1521152115211521,0.9999987540819647,1.1831837721996691e-06,6.273426314057924e-08
33,1.188118811881188,0.9999987457104983,1.1894196577464262e-06,6.486984396702349e-08
34,1.2241224122412242,0.9999987372948964,1.1956884197777379e-06,6.701668390666393e-08
35,1.2601260126012601,0.9999987288349328,1.2019902266828987e-06,6.917484062752318e-08
36,1.2961296129612963,0.9999987203303814,1.208325246851204e-06,7.134437179762388e-08
37,1.3321332133213322,0.9999987117810163,1.2146936486719485e-06,7.35253350849886e-08
38,1.368136813681368,0.9999987031866113,1.2210956005344274e-06,7.571778815764e-08
39,1.4041404140414042,0.9999986945469406,1.2275312708279358e-06,7.792178868360069e-08
40,1.4401440144014401,0.9999986858617778,1.2340008279417684e-06,8.013739433089329e-08
41,1.4761476147614763,0.9999986771308725,1.2405044584608932e-06,8.236466899903981e-08
42,1.5121512151215122,0.9999986683539246,1.247042386105542e-06,8.460368930533233e-08
43,1.548154815481548,0.9999986595306892,1.253614793140682e-06,8.68545176698159e-08
44,1.5841584158415842,0.9999986506609253,1.2602218591323366e-06,8.911721558822412e-08
45,1.6201620162016201,0.9999986417443918,1.2668637636465293e-06,9.139184455629063e-08
46,1.6561656165616563,0.9999986327808477,1.2735406862492834e-06,9.367846606974903e-08
47,1.6921692169216922,0.9999986237700519,1.2802528065066222e-06,9.597714162433293e-08
48,1.7281728172817283,0.9999986147117633,1.287000303984569e-06,9.828793271577596e-08
49,1.7641764176417642,0.9999986056057409,1.2937833582491469e-06,1.0061090083981171e-07
50,1.8001800180018002,0.9999985964517436,1.3006021488663794e-06,1.0294610749217379e-07
51,1.8361836183618363,0.9999985872495304,1.30745685540229e-06,1.0529361416859587e-07
52,1.8721872187218722,0.9999985779988603,1.3143476574229018e-06,1.0765348236481148e-07
53,1.9081908190819084,0.9999985686992368,1.321274924533595e-06,1.1002583865984124e-07
54,1.9441944194419443,0.9999985593489306,1.3282399450782815e-06,1.1241112427554812e-07
55,1.9801980198019802,0.9999985499474281,1.3352431016011523e-06,1.1480947022214185e-07
56,2.016201620162016,0.9999985404944508,1.3422846015693889e-06,1.1722094755074022e-07
57,2.0522052205220525,0.9999985309897201,1.349364652450172e-06,1.1964562731246099e-07
58,2.0882088208820884,0.9999985214329576,1.356483461710683e-06,1.22083580558422e-07
59,2.1242124212421243,0.9999985118238848,1.3636412368181034e-06,1.2453487833974098e-07
60,2.16021602160216,0.999998502162223,1.3708381852396142e-06,1.269995917075358e-07
61,2.196219621962196,0.9999984924476938,1.3780745144423965e-06,1.2947779171292423e-07
62,2.2322232223222325,0.9999984826800187,1.3853504318936318e-06,1.3196954940702404e-07
63,2.2682268226822684,0.9999984728589191,1.3926661450605012e-06,1.3447493584095312e-07
64,2.3042304230423043,0.9999984629841164,1.400021861410186e-06,1.3699402206582917e-07
