S,I,R,S_obs,I_obs,R_obs
0.999999,1e-06,0.0,1.8e-06,2e-07,0.9999979999999999
0.999998992924695,1.0052703785278496e-06,1.8049265850348186e-09,1.8094866813501292e-06,2.010540757055699e-07,0.9999979894592429
0.999998985812104,1.0105685311115312e-06,3.6193648631147068e-09,1.819023356000756e-06,2.0211370622230623e-07,0.9999979788629377
0.9999989786620385,1.0158945985553025e-06,5.443363055204185e-09,1.8286102773995444e-06,2.0317891971106051e-07,0.9999979682108029
0.9999989714742777,1.0212487449583543e-06,7.27697736004258e-09,1.838247740925038e-06,2.0424974899167084e-07,0.9999979575025101
0.9999989642486914,1.0266310675659196e-06,9.120241081046295e-09,1.8479359216186554e-06,2.053262135131839e-07,0.9999979467378649
0.9999989569850529,1.0320417351065778e-06,1.0973212002383299e-08,1.8576751231918401e-06,2.0640834702131555e-07,0.9999979359165299
0.9999989496831522,1.0374809041346761e-06,1.28359437389285e-08,1.867465627442417e-06,2.0749618082693522e-07,0.9999979250381917
0.999998942342779,1.042948731204562e-06,1.4708489905556795e-08,1.8773077161682115e-06,2.0858974624091237e-07,0.9999979141025376
0.999998934963723,1.0484453728705828e-06,1.65909041171431e-08,1.887201671167049e-06,2.0968907457411655e-07,0.9999979031092543
0.9999989275457744,1.053970985687086e-06,1.8483239988562313e-08,1.8971477742367545e-06,2.1079419713741717e-07,0.9999978920580287
0.9999989200887227,1.0595257262084187e-06,2.0385551134689337e-08,1.9071463071751536e-06,2.1190514524168374e-07,0.9999978809485476
0.999998912592358,1.0651097509889287e-06,2.2297891170399088e-08,1.9171975517800718e-06,2.1302195019778573e-07,0.999997869780498
0.9999989050564698,1.0707232165829633e-06,2.4220313710566452e-08,1.927301789849334e-06,2.1414464331659266e-07,0.9999978585535668
0.9999988974808481,1.07636627954487e-06,2.6152872370066344e-08,1.937459303180766e-06,2.1527325590897398e-07,0.9999978472674409
0.9999988898652828,1.082039096428996e-06,2.8095620763773675e-08,1.9476703735721928e-06,2.164078192857992e-07,0.9999978359218071
0.9999988822095637,1.0877418238649432e-06,3.0048612532336876e-08,1.9579352829568976e-06,2.1754836477298864e-07,0.9999978245163523
0.9999988745134727,1.0934746241273712e-06,3.2011903249749704e-08,1.968254323429268e-06,2.1869492482547421e-07,0.9999978130507517
0.9999988667767936,1.0992376583606508e-06,3.398554810289968e-08,1.9786277850491714e-06,2.1984753167213014e-07,0.9999978015246833
